City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,masterton,-40.9597,175.6575,65.1,42,100,11.56,NZ,1706406896
354,sabancuy,18.9667,-91.1833,75.83,90,2,10.29,MX,1706406896
355,tursunzoda,38.5144,68.2333,46.44,84,100,4.99,TJ,1706406896
356,luena,-11.7833,19.9167,65.53,85,98,1.52,AO,1706406896
357,lensk,60.7253,114.9278,-17.84,97,100,3.38,RU,1706406344
358,rabo de peixe,37.8,-25.5833,58.51,72,20,10.36,PT,1706406896
359,afif,23.9065,42.9172,53.91,40,85,7.74,SA,1706406897
360,middleton,53.55,-2.2,43.59,90,36,9.48,GB,1706406897
361,fale old settlement,-9.3852,-171.2468,85.1,69,41,4.56,TK,1706406760
362,pajok,3.8651,32.4821,71.98,40,48,3.53,SS,1706406897
363,puke,42.0444,19.8997,31.86,73,21,6.51,AL,1706406897
364,halifax,44.6453,-63.5724,32.49,94,100,1.01,CA,1706406510
365,caleta de carquin,-11.0925,-77.6267,75.13,80,79,8.61,PE,1706406778
